"OrthoGroup","# Species","Genes","Alg.-Conn.","L_infantum.fasta","L_major.fasta","L_mexicana.fasta"
"OrthoGroup_1553",3,3,0.973,"LINF_140006300","LmjF.14.0140","LmxM.14.0140"
"OrthoGroup_1554",3,3,0.973,"LINF_140007600","LmjF.14.0260","LmxM.14.0260"
"OrthoGroup_1555",3,3,0.973,"LINF_140009400","LmjF.14.0410","LmxM.14.0410"
"OrthoGroup_1556",3,3,0.973,"LINF_140009600","LmjF.14.0430","LmxM.14.0430"
"OrthoGroup_1557",3,3,0.973,"LINF_140014300","LmjF.14.0840","LmxM.14.0840"
"OrthoGroup_1558",3,3,0.973,"LINF_140017800","LmjF.14.1150","LmxM.14.1150"
"OrthoGroup_1559",3,3,0.973,"LINF_150015400","LmjF.15.0760","LmxM.15.0760"
"OrthoGroup_1560",3,3,0.973,"LINF_150021800","LmjF.15.1370","LmxM.15.1370"
"OrthoGroup_1561",3,3,0.973,"LINF_160005300","LmjF.16.0030","LmxM.16.0030"
"OrthoGroup_1562",3,3,0.973,"LINF_160007800","LmjF.16.0270","LmxM.16.0270"
"OrthoGroup_1563",3,3,0.973,"LINF_160015300","LmjF.16.0970","LmxM.16.0970"
"OrthoGroup_1564",3,3,0.973,"LINF_160022000","LmjF.16.1590","LmxM.16.1590"
"OrthoGroup_1565",3,3,0.973,"LINF_170011200","LmjF.17.0490","LmxM.17.0490"
"OrthoGroup_1566",3,3,0.973,"LINF_170017800","LmjF.17.1060","LmxM.17.1060"
"OrthoGroup_1567",3,3,0.973,"LINF_180010000","LmjF.18.0500","LmxM.18.0500"
"OrthoGroup_1568",3,3,0.973,"LINF_180013400","LmjF.18.0820","LmxM.18.0820"
"OrthoGroup_1569",3,3,0.973,"LINF_180018500","LmjF.18.1320","LmxM.18.1320"
"OrthoGroup_1570",3,3,0.973,"LINF_180022200","LmjF.18.1650","LmxM.18.1650"
"OrthoGroup_1571",3,3,0.973,"LINF_190007000","LmjF.19.0220","LmxM.19.0220"
"OrthoGroup_1572",3,3,0.973,"LINF_190018100","LmjF.19.1270","LmxM.19.1270"
"OrthoGroup_1573",3,3,0.973,"LINF_200013100","LmjF.20.0820","LmxM.20.0820"
"OrthoGroup_1574",3,3,0.973,"LINF_200019400","LmjF.20.1410","LmxM.20.1410"
"OrthoGroup_1575",3,3,0.973,"LINF_220008800","LmjF.22.0380","LmxM.22.0380"
"OrthoGroup_1576",3,3,0.973,"LINF_220012100","LmjF.22.0670","LmxM.22.0670"
"OrthoGroup_1577",3,3,0.973,"LINF_220013600","LmjF.22.0770","LmxM.22.0770"
"OrthoGroup_1578",3,3,0.973,"LINF_220020500","LmjF.22.1440","LmxM.22.1440"
"OrthoGroup_1579",3,3,0.973,"LINF_230007500","LmjF.23.0225","LmxM.23.0225"
"OrthoGroup_1580",3,3,0.973,"LINF_230019500","LmjF.23.1090","LmxM.23.1090"
"OrthoGroup_1581",3,3,0.973,"LINF_240018700","LmjF.24.1340","LmxM.24.1340"
"OrthoGroup_1582",3,3,0.973,"LINF_240019600","LmjF.24.1420","LmxM.24.1420"
"OrthoGroup_1583",3,3,0.973,"LINF_240024900","LmjF.24.1880","LmxM.24.1880"
"OrthoGroup_1584",3,3,0.973,"LINF_250006900","LmjF.25.0180","LmxM.25.0180"
"OrthoGroup_1585",3,3,0.973,"LINF_250007900","LmjF.25.0280","LmxM.25.0280"
"OrthoGroup_1586",3,3,0.973,"LINF_250021700","LmjF.25.1520","LmxM.25.1520"
"OrthoGroup_1587",3,3,0.973,"LINF_260011300","LmjF.26.0630","LmxM.26.0630"
"OrthoGroup_1588",3,3,0.973,"LINF_260013500","LmjF.26.0860","LmxM.26.0860"
"OrthoGroup_1589",3,3,0.973,"LINF_260022600","LmjF.26.1750","LmxM.26.1750"
"OrthoGroup_1590",3,3,0.973,"LINF_260028400","LmjF.26.2300","LmxM.26.2300"
"OrthoGroup_1591",3,3,0.973,"LINF_260029300","LmjF.26.2380","LmxM.26.2380"
"OrthoGroup_1592",3,3,0.973,"LINF_270010200","LmjF.27.0500","LmxM.27.0500"
"OrthoGroup_1593",3,3,0.973,"LINF_280008700","LmjF.28.0280","LmxM.28.0280"
"OrthoGroup_1594",3,3,0.973,"LINF_280018400","LmjF.28.1260","LmxM.28.1260"
"OrthoGroup_1595",3,3,0.973,"LINF_290020100","LmjF.29.1370","LmxM.08_29.1370"
"OrthoGroup_1596",3,3,0.973,"LINF_300015500","LmjF.30.0990","LmxM.29.0990"
"OrthoGroup_1597",3,3,0.973,"LINF_300016400","LmjF.30.1080","LmxM.29.1080"
"OrthoGroup_1598",3,3,0.973,"LINF_300033200","LmjF.30.2790","LmxM.29.2790"
"OrthoGroup_1599",3,3,0.973,"LINF_310016500","LmjF.31.1040","LmxM.30.1040"
"OrthoGroup_1600",3,3,0.973,"LINF_310029400","LmjF.31.2120","LmxM.30.2120"
"OrthoGroup_1601",3,3,0.973,"LINF_310030900","LmjF.31.2270","LmxM.30.2270"
"OrthoGroup_1602",3,3,0.973,"LINF_310032200","LmjF.31.2390","LmxM.30.2390"
"OrthoGroup_1603",3,3,0.973,"LINF_310036200","LmjF.31.2760","LmxM.30.2760"
"OrthoGroup_1604",3,3,0.973,"LINF_320015000","LmjF.32.0940","LmxM.31.0940"
"OrthoGroup_1605",3,3,0.973,"LINF_320016400","LmjF.32.1070","LmxM.31.1070"
"OrthoGroup_1606",3,3,0.973,"LINF_320024200","LmjF.32.1840","LmxM.31.1840"
"OrthoGroup_1607",3,3,0.973,"LINF_320045900","LmjF.32.3870","LmxM.31.3870"
"OrthoGroup_1608",3,3,0.973,"LINF_330010300","LmjF.33.0390","LmxM.32.0390"
"OrthoGroup_1609",3,3,0.973,"LINF_330010400","LmjF.33.0400","LmxM.32.0400"
"OrthoGroup_1610",3,3,0.973,"LINF_330011500","LmjF.33.0500","LmxM.32.0500"
"OrthoGroup_1611",3,3,0.973,"LINF_330029800","LmjF.33.2090","LmxM.32.2090"
"OrthoGroup_1612",3,3,0.973,"LINF_330035500","LmjF.33.2620","LmxM.32.2620"
"OrthoGroup_1613",3,3,0.973,"LINF_340005600","LmjF.34.0070","LmxM.33.0070"
"OrthoGroup_1614",3,3,0.973,"LINF_340019200","LmjF.34.1220","LmxM.33.1220"
"OrthoGroup_1615",3,3,0.973,"LINF_340022300","LmjF.34.1510","LmxM.33.1510"
"OrthoGroup_1616",3,3,0.973,"LINF_340026700","LmjF.34.2150","LmxM.33.2150"
"OrthoGroup_1617",3,3,0.973,"LINF_340028400","LmjF.34.2300","LmxM.33.2300"
"OrthoGroup_1618",3,3,0.973,"LINF_340033100","LmjF.34.2710","LmxM.33.2710"
"OrthoGroup_1619",3,3,0.973,"LINF_340037700","LmjF.34.3110","LmxM.33.3110"
"OrthoGroup_1620",3,3,0.973,"LINF_340046400","LmjF.34.3870","LmxM.33.3870"
"OrthoGroup_1621",3,3,0.973,"LINF_350012200","LmjF.35.0760","LmxM.34.0760"
"OrthoGroup_1622",3,3,0.973,"LINF_350014100","LmjF.35.0940","LmxM.34.0940"
"OrthoGroup_1623",3,3,0.973,"LINF_350033000","LmjF.35.2770","LmxM.34.2770"
"OrthoGroup_1624",3,3,0.973,"LINF_350041200","LmjF.35.3580","LmxM.34.3580"
"OrthoGroup_1625",3,3,0.973,"LINF_360020300","LmjF.36.1410","LmxM.36.1410"
"OrthoGroup_1626",3,3,0.973,"LINF_360020800","LmjF.36.1460","LmxM.36.1460"
"OrthoGroup_1627",3,3,0.973,"LINF_360024200","LmjF.36.1780","LmxM.36.1780"
"OrthoGroup_1628",3,3,0.973,"LINF_360030100","LmjF.36.2300","LmxM.36.2300"
"OrthoGroup_1629",3,3,0.973,"LINF_360032000","LmjF.36.2460","LmxM.36.2460"
"OrthoGroup_1630",3,3,0.973,"LINF_360067400","LmjF.36.5760","LmxM.36.5760"
"OrthoGroup_1631",3,3,0.973,"LINF_360069800","LmjF.36.5990","LmxM.36.5990"
"OrthoGroup_1632",3,3,0.973,"LINF_360075600","LmjF.36.6420","LmxM.36.6420"
"OrthoGroup_1633",3,3,0.972,"LINF_010009400","LmjF.01.0430","LmxM.01.0430"
"OrthoGroup_1634",3,3,0.972,"LINF_020007600","LmjF.02.0260","LmxM.02.0260"
"OrthoGroup_1635",3,3,0.972,"LINF_030008100","LmjF.03.0330","LmxM.03.0330"
"OrthoGroup_1636",3,3,0.972,"LINF_040016900","LmjF.04.1170","LmxM.04.1170"
"OrthoGroup_1637",3,3,0.972,"LINF_050011700","LmjF.05.0660","LmxM.05.0660"
"OrthoGroup_1638",3,3,0.972,"LINF_060009200","LmjF.06.0390","LmxM.06.0390"
"OrthoGroup_1639",3,3,0.972,"LINF_060011800","LmjF.06.0620","LmxM.06.0620"
"OrthoGroup_1640",3,3,0.972,"LINF_070011400","LmjF.07.0590","LmxM.07.0590"
"OrthoGroup_1641",3,3,0.972,"LINF_070012500","LmjF.07.0690","LmxM.07.0690"
"OrthoGroup_1642",3,3,0.972,"LINF_080013500","LmjF.08.0910","LmxM.08.0910"
"OrthoGroup_1643",3,3,0.972,"LINF_090006500","LmjF.09.0140","LmxM.09.0140"
"OrthoGroup_1644",3,3,0.972,"LINF_090010100","LmjF.09.0420","LmxM.09.0420"
"OrthoGroup_1645",3,3,0.972,"LINF_090010400","LmjF.09.0450","LmxM.09.0450"
"OrthoGroup_1646",3,3,0.972,"LINF_090018200","LmjF.09.1090","LmxM.09.1090"
"OrthoGroup_1647",3,3,0.972,"LINF_110008100","LmjF.11.0320","LmxM.11.0320"
"OrthoGroup_1648",3,3,0.972,"LINF_120007300","LmjF.12.0220","LmxM.12.0220"
"OrthoGroup_1649",3,3,0.972,"LINF_120011200","LmjF.12.0600","LmxM.12.0600"
"OrthoGroup_1650",3,3,0.972,"LINF_120012200","LmjF.12.0700","LmxM.12.0700"
"OrthoGroup_1651",3,3,0.972,"LINF_120016200","LmjF.12.1200","LmxM.12.1200"
"OrthoGroup_1652",3,3,0.972,"LINF_130020100","LmjF.13.1470","LmxM.13.1470"
"OrthoGroup_1653",3,3,0.972,"LINF_140006000","LmjF.14.0110","LmxM.14.0110"
"OrthoGroup_1654",3,3,0.972,"LINF_140019600","LmjF.14.1320","LmxM.14.1320"
"OrthoGroup_1655",3,3,0.972,"LINF_150015900","LmjF.15.0800","LmxM.15.0800"
"OrthoGroup_1656",3,3,0.972,"LINF_160008900","LmjF.16.0380","LmxM.16.0380"
"OrthoGroup_1657",3,3,0.972,"LINF_160013000","LmjF.16.0760","LmxM.16.0760"
"OrthoGroup_1658",3,3,0.972,"LINF_160015900","LmjF.16.1050","LmxM.16.1050"
"OrthoGroup_1659",3,3,0.972,"LINF_160018800","LmjF.16.1300","LmxM.16.1300"
"OrthoGroup_1660",3,3,0.972,"LINF_170020700","LmjF.17.1340","LmxM.17.1340"
"OrthoGroup_1661",3,3,0.972,"LINF_180010500","LmjF.18.0550","LmxM.18.0550"
"OrthoGroup_1662",3,3,0.972,"LINF_180016000","LmjF.18.1060","LmxM.18.1060"
"OrthoGroup_1663",3,3,0.972,"LINF_190006500","LmjF.19.0170","LmxM.19.0170"
"OrthoGroup_1664",3,3,0.972,"LINF_190007400","LmjF.19.0260","LmxM.19.0260"
"OrthoGroup_1665",3,3,0.972,"LINF_190022600","LmjF.19.1620","LmxM.19.1620"
"OrthoGroup_1666",3,3,0.972,"LINF_200010600","LmjF.20.0520","LmxM.20.0520"
"OrthoGroup_1667",3,3,0.972,"LINF_200012800","LmjF.20.0790","LmxM.20.0790"
"OrthoGroup_1668",3,3,0.972,"LINF_210005800","LmjF.21.0055","LmxM.21.0055"
"OrthoGroup_1669",3,3,0.972,"LINF_210011300","LmjF.21.0570","LmxM.21.0570"
"OrthoGroup_1670",3,3,0.972,"LINF_230009200","LmjF.23.0380","LmxM.23.0380"
"OrthoGroup_1671",3,3,0.972,"LINF_230013500","LmjF.23.0590","LmxM.23.0590"
"OrthoGroup_1672",3,3,0.972,"LINF_230013600","LmjF.23.0600","LmxM.23.0600"
"OrthoGroup_1673",3,3,0.972,"LINF_230019000","LmjF.23.1025","LmxM.23.1025"
"OrthoGroup_1674",3,3,0.972,"LINF_240007500","LmjF.24.0280","LmxM.24.0280"
"OrthoGroup_1675",3,3,0.972,"LINF_240014200","LmjF.24.0900","LmxM.24.0900"
"OrthoGroup_1676",3,3,0.972,"LINF_240015000","LmjF.24.0980","LmxM.24.0980"
"OrthoGroup_1677",3,3,0.972,"LINF_240016500","LmjF.24.1125","LmxM.24.1125"
"OrthoGroup_1678",3,3,0.972,"LINF_240020300","LmjF.24.1480","LmxM.24.1480"
"OrthoGroup_1679",3,3,0.972,"LINF_240026800","LmjF.24.2060","LmxM.24.2060"
"OrthoGroup_1680",3,3,0.972,"LINF_250007800","LmjF.25.0270","LmxM.25.0270"
"OrthoGroup_1681",3,3,0.972,"LINF_250016600","LmjF.25.1050","LmxM.25.1050"
"OrthoGroup_1682",3,3,0.972,"LINF_250020700","LmjF.25.1443","LmxM.25.1443"
"OrthoGroup_1683",3,3,0.972,"LINF_250023600","LmjF.25.1700","LmxM.25.1700"
"OrthoGroup_1684",3,3,0.972,"LINF_260014400","LmjF.26.0950","LmxM.26.0950"
"OrthoGroup_1685",3,3,0.972,"LINF_260019600","LmjF.26.1460","LmxM.26.1460"
"OrthoGroup_1686",3,3,0.972,"LINF_260020800","LmjF.26.1580","LmxM.26.1580"
"OrthoGroup_1687",3,3,0.972,"LINF_260025800","LmjF.26.2050","LmxM.26.2050"
"OrthoGroup_1688",3,3,0.972,"LINF_270011300","LmjF.27.0530","LmxM.27.0530"
"OrthoGroup_1689",3,3,0.972,"LINF_270024400","LmjF.27.1760","LmxM.27.1760"
"OrthoGroup_1690",3,3,0.972,"LINF_280007100","LmjF.28.0220","LmxM.28.0220"
"OrthoGroup_1691",3,3,0.972,"LINF_280026200","LmjF.28.1970","LmxM.28.1970"
"OrthoGroup_1692",3,3,0.972,"LINF_290013400","LmjF.29.0820","LmxM.08_29.0820"
"OrthoGroup_1693",3,3,0.972,"LINF_290019200","LmjF.29.1330","LmxM.08_29.1330"
"OrthoGroup_1694",3,3,0.972,"LINF_290020000","LmjF.29.1360","LmxM.08_29.1360"
"OrthoGroup_1695",3,3,0.972,"LINF_290023300","LmjF.29.1640","LmxM.08_29.1640"
"OrthoGroup_1696",3,3,0.972,"LINF_300011200","LmjF.30.0610","LmxM.29.0610"
"OrthoGroup_1697",3,3,0.972,"LINF_300016000","LmjF.30.1040","LmxM.29.1040"
"OrthoGroup_1698",3,3,0.972,"LINF_300027100","LmjF.30.2170","LmxM.29.2170"
"OrthoGroup_1699",3,3,0.972,"LINF_310008200","LmjF.31.0290","LmxM.30.0290"
"OrthoGroup_1700",3,3,0.972,"LINF_310012400","LmjF.31.0670","LmxM.30.0670"
"OrthoGroup_1701",3,3,0.972,"LINF_310028500","LmjF.31.2050","LmxM.30.2050"
"OrthoGroup_1702",3,3,0.972,"LINF_310035200","LmjF.31.2690","LmxM.30.2690"
"OrthoGroup_1703",3,3,0.972,"LINF_320017800","LmjF.32.1210","LmxM.31.1210"
"OrthoGroup_1704",3,3,0.972,"LINF_320022600","LmjF.32.1690","LmxM.31.1690"
"OrthoGroup_1705",3,3,0.972,"LINF_320034500","LmjF.32.2750","LmxM.31.2750"
"OrthoGroup_1706",3,3,0.972,"LINF_330012600","LmjF.33.0585","LmxM.32.0585"
"OrthoGroup_1707",3,3,0.972,"LINF_330015600","LmjF.33.0830","LmxM.32.0830"
"OrthoGroup_1708",3,3,0.972,"LINF_330020600","LmjF.33.1290","LmxM.32.1290"
"OrthoGroup_1709",3,3,0.972,"LINF_330024000","LmjF.33.1570","LmxM.32.1570"
"OrthoGroup_1710",3,3,0.972,"LINF_330026700","LmjF.33.1830","LmxM.32.1830"
"OrthoGroup_1711",3,3,0.972,"LINF_330027300","LmjF.33.1880","LmxM.32.1880"
"OrthoGroup_1712",3,3,0.972,"LINF_330034800","LmjF.33.2560","LmxM.32.2560"
"OrthoGroup_1713",3,3,0.972,"LINF_330035300","LmjF.33.2600","LmxM.32.2600"
"OrthoGroup_1714",3,3,0.972,"LINF_340008400","LmjF.34.0330","LmxM.33.0330"
"OrthoGroup_1715",3,3,0.972,"LINF_340009800","LmjF.34.0460","LmxM.33.0460"
"OrthoGroup_1716",3,3,0.972,"LINF_340018600","LmjF.34.1170","LmxM.33.1170"
"OrthoGroup_1717",3,3,0.972,"LINF_340018900","LmjF.34.1190","LmxM.33.1190"
"OrthoGroup_1718",3,3,0.972,"LINF_340044600","LmjF.34.3710","LmxM.33.3710"
"OrthoGroup_1719",3,3,0.972,"LINF_350011700","LmjF.35.0710","LmxM.34.0710"
"OrthoGroup_1720",3,3,0.972,"LINF_350013100","LmjF.35.0840","LmxM.34.0840"
"OrthoGroup_1721",3,3,0.972,"LINF_350016500","LmjF.35.1170","LmxM.34.1170"
"OrthoGroup_1722",3,3,0.972,"LINF_350021100","LmjF.35.1610","LmxM.34.1610"
"OrthoGroup_1723",3,3,0.972,"LINF_350049700","LmjF.35.4390","LmxM.34.4390"
"OrthoGroup_1724",3,3,0.972,"LINF_350049900","LmjF.35.4410","LmxM.34.4410"
"OrthoGroup_1725",3,3,0.972,"LINF_360030000","LmjF.36.2290","LmxM.36.2290"
"OrthoGroup_1726",3,3,0.972,"LINF_360041500","LmjF.36.3300","LmxM.36.3300"
"OrthoGroup_1727",3,3,0.972,"LINF_360048600","LmjF.36.3970","LmxM.36.3970"
"OrthoGroup_1728",3,3,0.972,"LINF_360050200","LmjF.36.4110","LmxM.36.4110"
"OrthoGroup_1729",3,3,0.971,"LINF_010009500","LmjF.01.0440","LmxM.01.0440"
"OrthoGroup_1730",3,3,0.971,"LINF_010009900","LmjF.01.0480","LmxM.01.0480"
"OrthoGroup_1731",3,3,0.971,"LINF_010010800","LmjF.01.0570","LmxM.01.0570"
"OrthoGroup_1732",3,3,0.971,"LINF_030009900","LmjF.03.0510","LmxM.03.0510"
"OrthoGroup_1733",3,3,0.971,"LINF_050011200","LmjF.05.0610","LmxM.05.0610"
"OrthoGroup_1734",3,3,0.971,"LINF_050014600","LmjF.05.0940","LmxM.05.0940"
"OrthoGroup_1735",3,3,0.971,"LINF_050015300","LmjF.05.0990","LmxM.05.0990"
"OrthoGroup_1736",3,3,0.971,"LINF_060007100","LmjF.06.0200","LmxM.06.0200"
"OrthoGroup_1737",3,3,0.971,"LINF_060010400","LmjF.06.0480","LmxM.06.0480"
"OrthoGroup_1738",3,3,0.971,"LINF_070007000","LmjF.07.0180","LmxM.07.0180"
"OrthoGroup_1739",3,3,0.971,"LINF_070008900","LmjF.07.0350","LmxM.07.0350"
"OrthoGroup_1740",3,3,0.971,"LINF_070014700","LmjF.07.0850","LmxM.07.0850"
"OrthoGroup_1741",3,3,0.971,"LINF_090007800","LmjF.09.0220","LmxM.09.0220"
"OrthoGroup_1742",3,3,0.971,"LINF_110018000","LmjF.11.1200","LmxM.11.1200"
"OrthoGroup_1743",3,3,0.971,"LINF_120011100","LmjF.12.0590","LmxM.12.0590"
"OrthoGroup_1744",3,3,0.971,"LINF_120016300","LmjF.12.1210","LmxM.12.1210"
"OrthoGroup_1745",3,3,0.971,"LINF_130022500","LmjF.13.1700","LmxM.13.1700"
"OrthoGroup_1746",3,3,0.971,"LINF_140008400","LmjF.14.0340","LmxM.14.0340"
"OrthoGroup_1747",3,3,0.971,"LINF_140014000","LmjF.14.0820","LmxM.14.0820"
"OrthoGroup_1748",3,3,0.971,"LINF_140020000","LmjF.14.1360","LmxM.14.1360"
"OrthoGroup_1749",3,3,0.971,"LINF_150012200","LmjF.15.0490","LmxM.15.0490"
"OrthoGroup_1750",3,3,0.971,"LINF_150012800","LmjF.15.0550","LmxM.15.0550"
"OrthoGroup_1751",3,3,0.971,"LINF_160013800","LmjF.16.0830","LmxM.16.0830"
"OrthoGroup_1752",3,3,0.971,"LINF_170007400","LmjF.17.0190","LmxM.17.0190"
"OrthoGroup_1753",3,3,0.971,"LINF_170007900","LmjF.17.0100","LmxM.17.0100"
"OrthoGroup_1754",3,3,0.971,"LINF_170012000","LmjF.17.0570","LmxM.17.0570"
"OrthoGroup_1755",3,3,0.971,"LINF_170015800","LmjF.17.0870","LmxM.17.0870"
"OrthoGroup_1756",3,3,0.971,"LINF_170021200","LmjF.17.1380","LmxM.17.1380"
"OrthoGroup_1757",3,3,0.971,"LINF_180010400","LmjF.18.0540","LmxM.18.0540"
"OrthoGroup_1758",3,3,0.971,"LINF_180015300","LmjF.18.1000","LmxM.18.1000"
"OrthoGroup_1759",3,3,0.971,"LINF_190007700","LmjF.19.0290","LmxM.19.0290"
"OrthoGroup_1760",3,3,0.971,"LINF_190020800","LmjF.19.1430","LmxM.19.1430"
"OrthoGroup_1761",3,3,0.971,"LINF_200011500","LmjF.20.0620","LmxM.20.0620"
"OrthoGroup_1762",3,3,0.971,"LINF_200020600","LmjF.20.1520","LmxM.20.1520"
"OrthoGroup_1763",3,3,0.971,"LINF_210007600","LmjF.21.0220","LmxM.21.0220"
"OrthoGroup_1764",3,3,0.971,"LINF_210015700","LmjF.21.0875","LmxM.21.0875"
"OrthoGroup_1765",3,3,0.971,"LINF_210026500","LmjF.21.1675","LmxM.21.1675"
"OrthoGroup_1766",3,3,0.971,"LINF_220006600","LmjF.22.0160","LmxM.22.0160"
"OrthoGroup_1767",3,3,0.971,"LINF_220007500","LmjF.22.0260","LmxM.22.0260"
"OrthoGroup_1768",3,3,0.971,"LINF_230015500","LmjF.23.0770","LmxM.23.0770"
"OrthoGroup_1769",3,3,0.971,"LINF_230019400","LmjF.23.1065","LmxM.23.1065"
"OrthoGroup_1770",3,3,0.971,"LINF_240012000","LmjF.24.0700","LmxM.24.0700"
"OrthoGroup_1771",3,3,0.971,"LINF_240021900","LmjF.24.1640","LmxM.24.1640"
"OrthoGroup_1772",3,3,0.971,"LINF_240028200","LmjF.24.2200","LmxM.24.2200"
"OrthoGroup_1773",3,3,0.971,"LINF_250009100","LmjF.25.0390","LmxM.25.0390"
"OrthoGroup_1774",3,3,0.971,"LINF_250013600","LmjF.25.0780","LmxM.25.0780"
"OrthoGroup_1775",3,3,0.971,"LINF_250029000","LmjF.25.2190","LmxM.25.2190"
"OrthoGroup_1776",3,3,0.971,"LINF_260010400","LmjF.26.0540","LmxM.26.0540"
"OrthoGroup_1777",3,3,0.971,"LINF_260016100","LmjF.26.1110","LmxM.26.1110"
"OrthoGroup_1778",3,3,0.971,"LINF_260032800","LmjF.26.2690","LmxM.26.2690"
"OrthoGroup_1779",3,3,0.971,"LINF_270015700","LmjF.27.0940","LmxM.27.0940"
"OrthoGroup_1780",3,3,0.971,"LINF_280017000","LmjF.28.1130","LmxM.28.1130"
"OrthoGroup_1781",3,3,0.971,"LINF_280020400","LmjF.28.1450","LmxM.28.1450"
"OrthoGroup_1782",3,3,0.971,"LINF_290014600","LmjF.29.0890","LmxM.08_29.0890"
"OrthoGroup_1783",3,3,0.971,"LINF_290016100","LmjF.29.1020","LmxM.08_29.1020"
"OrthoGroup_1784",3,3,0.971,"LINF_290028700","LmjF.29.2100","LmxM.08_29.2100"
"OrthoGroup_1785",3,3,0.971,"LINF_300007900","LmjF.30.0290","LmxM.29.0290"
"OrthoGroup_1786",3,3,0.971,"LINF_300020700","LmjF.30.1560","LmxM.29.1560"
"OrthoGroup_1787",3,3,0.971,"LINF_300027000","LmjF.30.2160","LmxM.29.2160"
"OrthoGroup_1788",3,3,0.971,"LINF_300027700","LmjF.30.2230","LmxM.29.2230"
"OrthoGroup_1789",3,3,0.971,"LINF_300029300","LmjF.30.2390","LmxM.29.2390"
"OrthoGroup_1790",3,3,0.971,"LINF_310012800","LmjF.31.0710","LmxM.30.0710"
"OrthoGroup_1791",3,3,0.971,"LINF_310013300","LmjF.31.0750","LmxM.30.0750"
"OrthoGroup_1792",3,3,0.971,"LINF_310016700","LmjF.31.1060","LmxM.30.1060"
"OrthoGroup_1793",3,3,0.971,"LINF_310028400","LmjF.31.2040","LmxM.30.2040"
"OrthoGroup_1794",3,3,0.971,"LINF_310031300","LmjF.31.2310","LmxM.30.2310"
"OrthoGroup_1795",3,3,0.971,"LINF_310035300","LmjF.31.2700","LmxM.30.2700"
"OrthoGroup_1796",3,3,0.971,"LINF_310040800","LmjF.31.3170","LmxM.30.3170"
"OrthoGroup_1797",3,3,0.971,"LINF_320017400","LmjF.32.1170","LmxM.31.1170"
"OrthoGroup_1798",3,3,0.971,"LINF_320019000","LmjF.32.1330","LmxM.31.1330"
"OrthoGroup_1799",3,3,0.971,"LINF_320034000","LmjF.32.2700","LmxM.31.2700"
"OrthoGroup_1800",3,3,0.971,"LINF_320038500","LmjF.32.3090","LmxM.31.3090"
"OrthoGroup_1801",3,3,0.971,"LINF_330005300","LmjF.33.0030","LmxM.32.0030"
"OrthoGroup_1802",3,3,0.971,"LINF_330005900","LmjF.33.0090","LmxM.32.0090"
"OrthoGroup_1803",3,3,0.971,"LINF_330014500","LmjF.33.0760","LmxM.32.0760"
"OrthoGroup_1804",3,3,0.971,"LINF_330019400","LmjF.33.1180","LmxM.32.1180"
"OrthoGroup_1805",3,3,0.971,"LINF_330019700","LmjF.33.1210","LmxM.32.1210"
"OrthoGroup_1806",3,3,0.971,"LINF_340012000","LmjF.34.0640","LmxM.33.0640"
"OrthoGroup_1807",3,3,0.971,"LINF_340019300","LmjF.34.1230","LmxM.33.1230"
"OrthoGroup_1808",3,3,0.971,"LINF_340024100","LmjF.34.1910","LmxM.33.1830"
"OrthoGroup_1809",3,3,0.971,"LINF_340050200","LmjF.34.4240","LmxM.33.4240"
"OrthoGroup_1810",3,3,0.971,"LINF_350009700","LmjF.35.0460","LmxM.34.0460"
"OrthoGroup_1811",3,3,0.971,"LINF_350015200","LmjF.35.1050","LmxM.34.1050"
"OrthoGroup_1812",3,3,0.971,"LINF_350018500","LmjF.35.1360","LmxM.34.1360"
"OrthoGroup_1813",3,3,0.971,"LINF_350020700","LmjF.35.1570","LmxM.34.1570"
"OrthoGroup_1814",3,3,0.971,"LINF_350026100","LmjF.35.2100","LmxM.34.2100"
"OrthoGroup_1815",3,3,0.971,"LINF_350028900","LmjF.35.2360","LmxM.34.2360"
"OrthoGroup_1816",3,3,0.971,"LINF_350029900","LmjF.35.2470","LmxM.35.2470"
"OrthoGroup_1817",3,3,0.971,"LINF_350035900","LmjF.35.3060","LmxM.34.3060"
"OrthoGroup_1818",3,3,0.971,"LINF_350038100","LmjF.35.3270","LmxM.34.3270"
"OrthoGroup_1819",3,3,0.971,"LINF_350042500","LmjF.35.3710","LmxM.34.3710"
"OrthoGroup_1820",3,3,0.971,"LINF_350049100","LmjF.35.4330","LmxM.34.4330"
"OrthoGroup_1821",3,3,0.971,"LINF_360010500","LmjF.36.0520","LmxM.36.0520"
"OrthoGroup_1822",3,3,0.971,"LINF_360013900","LmjF.36.0820","LmxM.36.0820"
"OrthoGroup_1823",3,3,0.971,"LINF_360017500","LmjF.36.1170","LmxM.36.1170"
"OrthoGroup_1824",3,3,0.971,"LINF_360020400","LmjF.36.1420","LmxM.36.1420"
"OrthoGroup_1825",3,3,0.971,"LINF_360022000","LmjF.36.1580","LmxM.36.1580"
"OrthoGroup_1826",3,3,0.971,"LINF_360032100","LmjF.36.2470","LmxM.36.2470"
"OrthoGroup_1827",3,3,0.971,"LINF_360039800","LmjF.36.3160","LmxM.36.3160"
"OrthoGroup_1828",3,3,0.971,"LINF_360056900","LmjF.36.4740","LmxM.36.4740"
"OrthoGroup_1829",3,3,0.97,"LINF_010010300","LmjF.01.0520","LmxM.01.0520"
"OrthoGroup_1830",3,3,0.97,"LINF_010013200","LmjF.01.0810","LmxM.01.0810"
